,Mx,My,Mz,Pot1,Pot2
294,-258.0273690130979,-299.524336141655,-106.08575787110794,386,833
295,-260.78006246547386,-297.66426198528984,-102.73450090931397,387,839
296,-254.61359427130185,-304.0939694319651,-109.73450090931397,387,841
297,-219.8644647930272,-297.35813740853587,-154.08575787110794,387,843
298,-219.34346027554068,-293.89353038045965,-160.08575787110794,387,843
299,-216.34346027554068,-292.35813740853587,-145.43556944079864,387,843
300,-224.90096724569787,-290.89353038045965,-160.7839404363233,387,841
301,-221.34346027554068,-291.966364944049,-160.13087567561888,387,843
302,-223.34346027554068,-291.89353038045965,-160.43556944079864,386,843
303,-223.38363475596282,-294.89353038045965,-140.43556944079864,386,843
304,-230.38363475596282,-287.35813740853587,-156.73450090931397,386,844
305,-223.8644647930272,-287.35813740853587,-158.13087567561888,389,843
306,-225.38363475596282,-286.35813740853587,-151.7839404363233,386,842
307,-227.34346027554068,-283.8234279311813,-148.43556944079864,386,843
308,-225.90096724569787,-284.89353038045965,-142.7839404363233,387,846
309,-229.8644647930272,-281.8234279311813,-148.43556944079864,386,840
310,-228.8644647930272,-258.4296063809612,-150.73450090931397,386,1023
311,-232.90096724569787,-238.89353038045965,-149.43556944079864,385,1023
312,-245.82062412215316,-196.4296063809612,-152.08575787110794,385,828
313,-247.82062412215316,-167.58073134891606,-158.73450090931397,380,795
314,-262.3434602755407,-112.35813740853587,-171.38179373748017,381,679
315,-282.8644647930272,-55.66037988858267,-174.73450090931397,381,656
316,-276.90096724569787,-61.58073134891606,-179.73450090931397,372,683
317,-275.8644647930272,-57.66037988858267,-177.08575787110794,372,679
318,-285.3836347559628,-57.041927894017874,-184.38179373748017,370,678
319,-274.3434602755407,-65.66037988858267,-170.7839404363233,369,679
320,-273.3836347559628,-92.50380560373173,-168.08575787110794,378,705
321,-261.3836347559628,-162.4296063809612,-163.43556944079864,376,705
322,-242.8644647930272,-229.50380560373173,-153.73450090931397,377,790
323,-229.38363475596282,-272.4296063809612,-146.7839404363233,382,807
324,-233.38363475596282,-282.966364944049,-145.13087567561888,387,824
325,-232.38363475596282,-284.35813740853587,-142.43556944079864,387,833
326,-229.38363475596282,-276.8234279311813,-143.13087567561888,386,835
327,-231.38363475596282,-278.8234279311813,-135.13087567561888,386,837
328,-230.90096724569787,-267.35813740853587,-159.13087567561888,386,835
329,-239.82062412215316,-255.35813740853587,-142.43556944079864,386,1023
330,-245.8644647930272,-217.4296063809612,-157.7839404363233,385,827
331,-258.8644647930272,-189.89353038045965,-164.08575787110794,385,807
332,-255.29595925151455,-165.04192789401787,-168.73450090931397,383,791
333,-267.3434602755407,-137.50380560373173,-163.13087567561888,383,765
334,-275.2411550330843,-85.58073134891606,-176.73450090931397,383,725
335,-282.29595925151455,-54.120215502434775,-173.73450090931397,380,688
336,-279.17907096944793,-52.58073134891606,-172.08575787110794,379,701
337,-288.7694685822752,-57.58073134891606,-169.08575787110794,380,681
338,-279.7694685822752,-60.58073134891606,-170.08575787110794,382,683
339,-275.29595925151455,-98.74274749480008,-171.73450090931397,382,713
340,-259.3434602755407,-183.04192789401787,-158.43556944079864,382,765
341,-243.24115503308428,-235.4296063809612,-146.73450090931397,379,793
342,-237.82062412215316,-274.89353038045965,-146.7839404363233,384,813
343,-239.34346027554068,-294.35813740853587,-140.13087567561888,388,828
344,-237.29595925151455,-294.89353038045965,-138.7839404363233,388,838
345,-238.34346027554068,-288.4296063809612,-153.13087567561888,387,839
346,-235.24115503308428,-267.4296063809612,-149.43556944079864,386,1023
347,-247.34346027554068,-243.4296063809612,-152.43556944079864,386,1023
348,-251.8644647930272,-202.4296063809612,-158.73450090931397,388,820
